id:	0|2019|2|26|	13|27|56|289|
id:	1|2019|2|26|	13|27|59|547|
id:	1|2019|2|26|	13|27|59|547|
id:	1|2019|2|26|	13|27|59|548|
id:	1|2019|2|26|	13|27|59|548|
id:	1|2019|2|26|	13|27|59|549|
id:	1|2019|2|26|	13|27|59|549|
id:	1|2019|2|26|	13|27|59|549|
id:	1|2019|2|26|	13|27|59|550|
id:	1001|2019|2|26|	13|28|2|459|
id:	2001|2019|2|26|	13|28|15|515|
id:	3001|2019|2|26|	13|28|19|935|
id:	4001|2019|2|26|	13|28|23|40|
id:	5001|2019|2|26|	13|28|26|307|
id:	6001|2019|2|26|	13|28|29|255|
id:	7001|2019|2|26|	13|28|32|488|
id:	8001|2019|2|26|	13|28|35|745|
id:	9001|2019|2|26|	13|28|38|828|
id:	10001|2019|2|26|	13|28|42|411|
id:	20001|2019|2|26|	13|29|11|237|
id:	30001|2019|2|26|	13|29|38|638|
id:	40001|2019|2|26|	13|30|4|212|
id:	50001|2019|2|26|	13|30|31|855|
id:	60001|2019|2|26|	13|30|56|785|
